_id,serverid,latitude,longitude,accuracy,speed,calc_speed,corrected_speed,calc_state,timestamp,processedResult,isSynced,altitude,bearing
1,-1,22.281338,73.1906891,25.3320007324219,0.0,7.26838005913628,-1.0,,1526114131767,-1,-1,0.0,0.0
2,-1,22.2814968,73.1907338,23.1879997253418,0.0,3.63559341430664,-1.0,,1526114136792,-1,-1,0.0,0.0
3,-1,22.2816329,73.190657,12.0,5.81802606582642,17.0228118896484,-1.0,,1526114138126,-1,-1,-23.2505973670906,354.0
4,-1,22.2817479,73.1906621,32.0,7.50812768936157,12.7452621459961,-1.0,,1526114140125,-1,-1,-20.2515777621959,359.0
5,-1,22.2818138,73.1906643,32.0,7.58186054229736,7.30089807510376,-1.0,,1526114141126,-1,-1,-20.6010322054023,358.0
6,-1,22.2818819,73.1906861,12.0,7.28648805618286,7.8685417175293,-1.0,,1526114142127,-1,-1,-21.9666170661705,358.0
7,-1,22.2819996,73.1906806,12.0,7.15172624588013,13.0457220077515,-1.0,,1526114144000,-1,-1,-22.7342684944504,353.0
8,-1,22.2820655,73.1906755,10.0,7.68499851226807,7.31628036499023,-1.0,,1526114145000,-1,-1,-22.7953712635602,354.0
9,-1,22.2821447,73.190662,10.0,8.08326721191406,8.879807472229,-1.0,,1526114146000,-1,-1,-24.8120581783797,355.0
10,-1,22.2822717,73.1906486,10.0,8.45773410797119,7.0654354095459,-1.0,,1526114148000,-1,-1,-22.4244343176523,355.0
11,-1,22.282454,73.1906497,10.0,9.06620693206787,10.0935726165771,-1.0,,1526114150000,-1,-1,-20.839455684583,357.0
12,-1,22.2825404,73.1906579,10.0,9.2138032913208,9.60467529296875,-1.0,,1526114151000,-1,-1,-22.7797435844225,357.0
13,-1,22.2827203,73.1906576,10.0,9.25731182098389,9.96054458618164,-1.0,,1526114153000,-1,-1,-24.1595469346441,359.0
14,-1,22.2828012,73.1906614,10.0,8.65329456329346,8.96694469451904,-1.0,,1526114154000,-1,-1,-25.4698030286479,358.0
15,-1,22.2828802,73.1906776,10.0,8.11748504638672,8.9058780670166,-1.0,,1526114155000,-1,-1,-28.4877806345643,356.0
16,-1,22.283024,73.190663,10.0,7.99535131454468,7.99724626541138,-1.0,,1526114157000,-1,-1,-31.1684976598194,350.0
17,-1,22.2830879,73.190612,10.0,7.50554704666138,8.81433486938477,-1.0,,1526114158000,-1,-1,-34.122067288168,325.0
18,-1,22.2831715,73.1905019,10.0,8.42061328887939,7.32190227508545,-1.0,,1526114160000,-1,-1,-34.3222331119667,277.0
19,-1,22.2831705,73.1904401,10.0,8.52738571166992,6.36981630325317,-1.0,,1526114161000,-1,-1,-32.9600829864196,276.0
20,-1,22.2831895,73.1903533,10.0,8.97114562988281,9.18934726715088,-1.0,,1526114162000,-1,-1,-33.2055924052908,276.0
21,-1,22.2832075,73.1901474,10.0,9.64049243927002,10.6563062667847,-1.0,,1526114164000,-1,-1,-33.987435591637,273.0
22,-1,22.2832277,73.1899539,10.0,11.2803049087524,10.0331840515137,-1.0,,1526114166000,-1,-1,-36.9757253774038,272.0
23,-1,22.2832364,73.1898325,10.0,11.4658765792847,12.5480165481567,-1.0,,1526114167000,-1,-1,-37.5715632229903,272.0
24,-1,22.2832337,73.1895905,10.0,12.1633472442627,12.4706525802612,-1.0,,1526114169000,-1,-1,-36.5741536259292,272.0
25,-1,22.2832404,73.1893398,10.0,12.5651683807373,12.9233741760254,-1.0,,1526114171000,-1,-1,-36.0003811680247,272.0
26,-1,22.2832428,73.1892074,10.0,12.8998003005981,13.647180557251,-1.0,,1526114172000,-1,-1,-35.9460707830342,271.0
27,-1,22.2832441,73.1890777,10.0,13.1111993789673,13.3671169281006,-1.0,,1526114173000,-1,-1,-35.688823105669,271.0
28,-1,22.2832447,73.188824,10.0,13.3434867858887,13.0726747512817,-1.0,,1526114175000,-1,-1,-34.7309990449453,271.0
29,-1,22.2832472,73.1886936,10.0,12.9582901000977,13.4413318634033,-1.0,,1526114176000,-1,-1,-33.8744936564428,271.0
30,-1,22.2832524,73.1885743,10.0,12.6257429122925,12.3080368041992,-1.0,,1526114177000,-1,-1,-33.1878235111175,272.0
31,-1,22.283261,73.188339,10.0,11.4312400817871,12.1338634490967,-1.0,,1526114179000,-1,-1,-32.4302937126541,273.0
32,-1,22.2832709,73.1881239,10.0,10.5903673171997,11.0971984863281,-1.0,,1526114181000,-1,-1,-32.1995776517436,272.0
33,-1,22.2832701,73.18803,10.0,10.0906543731689,9.67734622955322,-1.0,,1526114182000,-1,-1,-32.2271291986054,270.0
34,-1,22.2831967,73.1879106,10.0,7.41883325576782,7.37347030639648,-1.0,,1526114184000,-1,-1,-32.2771829883395,217.0
35,-1,22.2831192,73.1878782,10.0,10.0893259048462,9.20857715606689,-1.0,,1526114185000,-1,-1,-32.5484061351248,197.0
36,-1,22.2830332,73.1878795,10.0,10.9325351715088,9.52407646179199,-1.0,,1526114186000,-1,-1,-32.892835216013,178.0
37,-1,22.2828152,73.1878663,10.0,12.3921976089478,12.0891675949097,-1.0,,1526114188000,-1,-1,-32.7016191506986,177.0
38,-1,22.2826965,73.1878595,10.0,12.4851951599121,13.1628065109253,-1.0,,1526114189000,-1,-1,-32.4890443175839,177.0
39,-1,22.2825815,73.1878591,10.0,12.5350751876831,12.7344884872437,-1.0,,1526114190000,-1,-1,-32.3245919205451,177.0
40,-1,22.2824679,73.1878625,10.0,12.6667337417603,12.5842733383179,-1.0,,1526114191000,-1,-1,-32.6262333350298,177.0
41,-1,22.2823499,73.1878639,10.0,12.7994518280029,13.0674209594727,-1.0,,1526114192000,-1,-1,-33.1594975810588,178.0
42,-1,22.2822271,73.187861,10.0,13.3874826431274,13.6014318466187,-1.0,,1526114193000,-1,-1,-34.146703389896,180.0
43,-1,22.2821089,73.1878501,10.0,13.6744222640991,13.1368856430054,-1.0,,1526114194000,-1,-1,-34.7106942790737,183.0
44,-1,22.2819887,73.1878093,10.0,13.9074687957764,13.9585838317871,-1.0,,1526114195000,-1,-1,-35.1388667487509,198.0
45,-1,22.2818757,73.1877629,10.0,14.1557369232178,13.3955192565918,-1.0,,1526114196000,-1,-1,-35.3252832056234,200.0
46,-1,22.2816403,73.1876572,10.0,14.7909278869629,14.1256713867187,-1.0,,1526114198000,-1,-1,-35.2355194755614,202.0
47,-1,22.2813834,73.1875323,10.0,15.3864765167236,15.6120891571045,-1.0,,1526114200000,-1,-1,-35.1865774849933,203.0
48,-1,22.2812547,73.1874698,10.0,15.6649780273437,15.6394395828247,-1.0,,1526114201000,-1,-1,-34.3536314049575,203.0
49,-1,22.2809965,73.187338,10.0,16.1252479553223,15.826979637146,-1.0,,1526114203000,-1,-1,-33.5935084356025,203.0
50,-1,22.2808666,73.1872738,10.0,15.9815435409546,15.8330373764038,-1.0,,1526114204000,-1,-1,-33.4930423922697,203.0
51,-1,22.2807321,73.1872125,10.0,15.7644472122192,16.1781730651855,-1.0,,1526114205000,-1,-1,-33.3455850081065,202.0
52,-1,22.2805988,73.187152,10.0,15.9260482788086,16.0236663818359,-1.0,,1526114206000,-1,-1,-33.2034483742366,202.0
53,-1,22.2804623,73.1870902,10.0,16.2703151702881,16.402229309082,-1.0,,1526114207000,-1,-1,-33.1554799494366,203.0
54,-1,22.2801947,73.1869638,10.0,16.6129398345947,16.1846523284912,-1.0,,1526114209000,-1,-1,-32.9685046427127,202.0
