_id,serverid,latitude,longitude,accuracy,speed,calc_speed,corrected_speed,calc_state,timestamp,processedResult,isSynced,altitude,bearing
1,-1,22.276073,73.1855551,53.8120002746582,0,0.5802529772872445,-1,,1526661698930,-1,0,0,0
2,-1,22.2760718,73.185557,51.465999603271484,0,0.0197204848130544,-1,,1526661711657,-1,0,0,0
3,-1,22.2760718,73.185557,40.612998962402344,0,0,-1,,1526661721708,-1,0,0,0
4,-1,22.2760198,73.1855422,48.233001708984375,0,0.5415241935036399,-1,,1526661732911,-1,0,0,0
5,-1,22.2760001,73.1855366,60.7859992980957,0,0.250723918279012,-1,,1526661742660,-1,0,0,0
6,-1,22.2759824,73.1855316,72.62699890136719,0,0.4053200721740723,-1,,1526661747686,-1,0,0,0
7,-1,22.276622,73.1859132,97.5250015258789,0,0.04754225413004557,-1,,1526663452389,-1,0,0,0
8,-1,22.276622,73.1859132,94.36900329589844,0,0,-1,,1526663462422,-1,0,0,0
9,-1,22.276622,73.1859132,90.29900360107422,0,0,-1,,1526663472382,-1,0,0,0
10,-1,22.276622,73.1859132,88.73799896240234,0,0,-1,,1526663482498,-1,0,0,0
11,-1,22.276622,73.1859132,89.19200134277344,0,0,-1,,1526663492538,-1,0,0,0
12,-1,22.276622,73.1859132,89.48500061035156,0,0,-1,,1526663502610,-1,0,0,0
13,-1,22.276622,73.1859132,88.3759994506836,0,0,-1,,1526663512656,-1,0,0,0
14,-1,22.276622,73.1859132,91.8290023803711,0,0,-1,,1526663522706,-1,0,0,0
15,-1,22.276622,73.1859132,91.0770034790039,0,0,-1,,1526663532773,-1,0,0,0
16,-1,22.276622,73.1859132,89.02799987792969,0,0,-1,,1526663542836,-1,0,0,0
17,-1,22.276622,73.1859132,88.18900299072266,0,0,-1,,1526663552246,-1,0,0,0
18,-1,22.276622,73.1859132,85.58499908447266,0,0,-1,,1526663562320,-1,0,0,0
19,-1,22.276622,73.1859132,82.44999694824219,0,0,-1,,1526663572522,-1,0,0,0
20,-1,22.276622,73.1859132,80.69499969482422,0,0,-1,,1526663582602,-1,0,0,0
21,-1,22.276622,73.1859132,79.68699645996094,0,0,-1,,1526663592624,-1,0,0,0
22,-1,22.276622,73.1859132,80.68299865722656,0,0,-1,,1526663602745,-1,0,0,0
23,-1,22.276622,73.1859132,82.65799713134766,0,0,-1,,1526663612712,-1,0,0,0
24,-1,22.276622,73.1859132,82.45999908447266,0,0,-1,,1526663622847,-1,0,0,0
25,-1,22.2766172,73.1859275,80.15699768066406,0,0.17407634523179796,-1,,1526663632626,-1,0,0,0
26,-1,22.2766072,73.1859392,79.71600341796875,0,0.16371256113052368,-1,,1526663642862,-1,0,0,0
27,-1,22.2766123,73.1859303,80.70800018310547,0,0.10771558284759522,-1,,1526663652998,-1,0,0,0
28,-1,22.2766058,73.185944,81.36399841308594,0,0.17608994907803005,-1,,1526663662987,-1,0,0,0
29,-1,22.2766089,73.1859459,77.0979995727539,0,0.03951982855796814,-1,,1526663673068,-1,0,0,0
30,-1,22.2766129,73.185936,80.34200286865234,0,0.12358864148457845,-1,,1526663683027,-1,0,0,0
31,-1,22.276622,73.1859132,93.58499908447266,0,0.07519813144908231,-1,,1526663717951,-1,0,0,0
32,-1,22.276622,73.1859132,88.48799896240234,0,0,-1,,1526663728058,-1,0,0,0
33,-1,22.276622,73.1859132,85.7020034790039,0,0,-1,,1526663738008,-1,0,0,0
34,-1,22.276622,73.1859132,84.24099731445312,0,0,-1,,1526663748200,-1,0,0,0
35,-1,22.276622,73.1859132,83.31800079345703,0,0,-1,,1526663758188,-1,0,0,0
36,-1,22.2766215,73.1859269,95.1449966430664,0,0.15700183974372017,-1,,1526663767321,-1,0,0,0
37,-1,22.2766219,73.185924,94.36499786376953,0,0.02746730230071328,-1,,1526663778358,-1,0,0,0
38,-1,22.2766223,73.1859287,88.3550033569336,0,0.04864061772823334,-1,,1526663788379,-1,0,0,0
39,-1,22.2766222,73.1859228,85.66300201416016,0,0.06081588864326477,-1,,1526663798419,-1,0,0,0
40,-1,22.2766178,73.1859309,76.84500122070312,0,0.09665762782096862,-1,,1526663808469,-1,0,0,0
41,-1,22.2766199,73.1859222,68.7229995727539,0,0.09262922406196594,-1,,1526663818679,-1,0,0,0
42,-1,22.2766208,73.1859183,65.11299896240234,0,0.041410785913467404,-1,,1526663828759,-1,0,0,0
43,-1,22.2766194,73.1859207,60.784000396728516,0,0.032434824440214366,-1,,1526663838718,-1,0,0,0
